

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",1.000000,1.000000,1.000000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",1.000000,1.000000,1.000000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"32170",26 Jul 2014 05:35:51.082,19.771441,2.4017e-007,2.3103e-047,2.3103e-047,6.9022e-020
"34008",26 Jul 2014 05:48:49.092,8.726958,1.2327e-006,3.4366e-013,3.4366e-013,3.4366e-013
"24871",26 Jul 2014 06:10:39.068,9.347361,1.6575e-006,3.2143e-014,3.2143e-014,3.2144e-014
"4597",26 Jul 2014 06:41:29.281,16.408172,3.8851e-007,4.1852e-034,4.1852e-034,1.0785e-019
"34276",26 Jul 2014 06:47:06.064,9.615066,1.0155e-006,5.8553e-015,5.8553e-015,5.8554e-015
"24871",26 Jul 2014 07:00:42.619,4.634698,6.7420e-006,4.5809e-007,4.5809e-007,4.5809e-007
"24871",26 Jul 2014 07:50:49.764,15.504763,6.0242e-007,7.8250e-031,7.8250e-031,1.5530e-019
"30198",26 Jul 2014 08:36:27.333,11.774126,6.7722e-007,5.6718e-020,5.6718e-020,1.9844e-019
"22433",26 Jul 2014 08:38:41.923,13.459665,5.1823e-007,1.3676e-024,1.3676e-024,1.2510e-019
"24871",26 Jul 2014 08:40:53.326,18.002847,4.4684e-007,6.3944e-040,6.3943e-040,1.5099e-019
"36939",26 Jul 2014 09:47:57.287,9.639937,1.0103e-006,5.1947e-015,5.1947e-015,5.1948e-015
"30333",26 Jul 2014 10:16:37.980,15.630904,3.8425e-007,1.8984e-031,1.9521e-031,6.4709e-020
"38816",26 Jul 2014 10:46:46.128,9.350669,1.0737e-006,2.0510e-014,2.0510e-014,2.0511e-014
"30642",26 Jul 2014 11:32:14.521,19.739639,2.4094e-007,3.1629e-047,3.1629e-047,1.3373e-019
"1982",26 Jul 2014 11:44:06.618,12.495952,6.0124e-007,7.1073e-022,7.1073e-022,8.6278e-020
"4432",26 Jul 2014 12:30:05.887,11.594115,6.9841e-007,1.6234e-019,1.6234e-019,2.6746e-019
"31416",26 Jul 2014 14:53:11.637,13.596385,5.0786e-007,5.4243e-025,5.4242e-025,1.5961e-019
"34040",26 Jul 2014 14:59:00.217,4.408605,4.8304e-006,4.9506e-007,4.9506e-007,4.9506e-007
"33713",26 Jul 2014 15:30:12.322,7.777212,1.5522e-006,1.7296e-011,1.7296e-011,1.7296e-011
"1739",26 Jul 2014 15:31:59.758,18.703270,2.7924e-007,6.9648e-043,0.0000e+000,9.2749e-020
"35705",26 Jul 2014 15:33:56.687,10.501347,8.5133e-007,6.7901e-017,6.7901e-017,6.8030e-017
"34389",26 Jul 2014 17:31:25.245,18.079278,2.8723e-007,2.0775e-040,0.0000e+000,7.9807e-020
"28372",26 Jul 2014 19:08:28.433,12.253265,6.2529e-007,3.1902e-021,3.1902e-021,-1.2942e-020
"37296",26 Jul 2014 19:11:46.118,17.354455,3.1172e-007,1.2763e-037,1.2763e-037,3.4511e-020
"36255",26 Jul 2014 21:20:49.412,15.719675,3.7993e-007,9.4674e-032,9.2387e-032,9.9220e-020
"20442",26 Jul 2014 21:40:41.182,17.940744,2.6990e-007,6.6913e-040,0.0000e+000,4.5296e-020
"8343",26 Jul 2014 22:29:55.913,15.087476,4.7014e-007,1.4052e-029,1.4053e-029,-1.6393e-019
"35575",26 Jul 2014 23:07:47.978,16.830451,3.3143e-007,1.1240e-035,1.1240e-035,1.6609e-019
"29051",26 Jul 2014 23:11:48.362,9.275044,1.0913e-006,2.9168e-014,2.9168e-014,2.9168e-014
"13809",26 Jul 2014 23:16:08.016,10.709469,8.1856e-007,2.2522e-017,2.2522e-017,2.2691e-017
"30977",27 Jul 2014 00:04:50.863,4.370795,4.9144e-006,5.3790e-007,5.3790e-007,5.3790e-007
"34036",27 Jul 2014 01:51:11.825,11.685126,6.8758e-007,9.5588e-020,9.5588e-020,1.9413e-019
"733",27 Jul 2014 02:35:16.085,19.634458,3.3298e-007,1.2192e-046,0.0000e+000,-3.0197e-020
"35469",27 Jul 2014 03:12:36.770,16.407661,3.4873e-007,3.7713e-034,0.0000e+000,6.9022e-020
"31458",27 Jul 2014 03:17:32.980,8.553456,1.2832e-006,7.2718e-013,7.2718e-013,7.2718e-013
