

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.200000,0.100000,0.040000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.200000,0.100000,0.040000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"34331",9 Feb 2014 07:15:23.351,8.211974,3.5160e-006,1.0000e-305,0.0000e+000,1.0785e-019
"23261",9 Feb 2014 07:31:13.072,14.836802,1.9928e-006,1.0000e-305,0.0000e+000,3.1276e-020
"34962",9 Feb 2014 07:36:23.231,12.718243,1.5230e-006,1.0000e-305,0.0000e+000,2.9335e-019
"34331",9 Feb 2014 08:05:18.333,7.054465,4.7639e-006,1.0000e-305,5.4302e-314,5.3492e-019
"34962",9 Feb 2014 08:26:34.308,5.253203,8.9302e-006,1.0000e-305,3.3062e-311,5.1767e-020
"34555",9 Feb 2014 08:30:53.710,15.760808,9.6107e-007,1.0000e-305,0.0000e+000,1.1216e-019
"34331",9 Feb 2014 08:55:38.120,15.017527,1.0511e-006,1.0000e-305,0.0000e+000,9.9220e-020
"21575",9 Feb 2014 09:12:55.795,13.449905,2.1530e-006,1.0000e-305,0.0000e+000,1.7687e-019
"34962",9 Feb 2014 09:16:37.368,3.407765,2.1229e-005,1.0000e-305,0.0000e+000,4.3139e-020
"34555",9 Feb 2014 09:20:52.332,16.137995,9.1685e-007,1.0000e-305,0.0000e+000,1.4236e-019
"34331",9 Feb 2014 09:45:33.101,13.541043,1.2926e-006,1.0000e-305,7.7860e-311,4.4002e-019
"35796",9 Feb 2014 09:50:03.292,17.290153,7.9991e-007,1.0000e-305,0.0000e+000,7.1179e-020
"5060",9 Feb 2014 09:53:44.737,4.829340,1.1984e-005,7.5851e-227,0.0000e+000,-2.5883e-019
"21575",9 Feb 2014 10:03:00.847,14.031996,1.9781e-006,1.0000e-305,0.0000e+000,8.4121e-020
"34962",9 Feb 2014 10:06:48.450,10.840860,2.0986e-006,1.0000e-305,0.0000e+000,2.0707e-019
"35417",9 Feb 2014 10:10:10.366,12.105040,1.7375e-006,1.0000e-305,0.0000e+000,6.4709e-020
"34555",9 Feb 2014 10:11:01.897,11.652728,1.7589e-006,1.0000e-305,0.0000e+000,1.0353e-019
"35381",9 Feb 2014 10:32:58.456,9.001688,3.0131e-006,1.0000e-305,0.0000e+000,7.5493e-020
"34428",9 Feb 2014 10:56:41.271,12.025491,1.7112e-006,1.0000e-305,0.0000e+000,9.2749e-020
"34962",9 Feb 2014 10:56:51.505,7.966353,3.8878e-006,1.0000e-305,0.0000e+000,4.0551e-019
"34555",9 Feb 2014 11:01:00.519,11.199658,1.9045e-006,1.0000e-305,0.0000e+000,6.4709e-020
"35796",9 Feb 2014 11:30:25.141,18.501040,6.9833e-007,1.0000e-305,0.0000e+000,9.0592e-020
"22706",9 Feb 2014 11:37:26.291,14.495703,2.1370e-006,1.0000e-305,0.0000e+000,3.2354e-020
"34555",9 Feb 2014 11:51:10.082,9.560331,2.6141e-006,1.0000e-305,0.0000e+000,2.1570e-020
"34428",9 Feb 2014 12:36:46.642,12.316532,1.6326e-006,1.0000e-305,0.0000e+000,1.4452e-019
"34962",9 Feb 2014 12:37:05.641,17.856561,7.7440e-007,1.0000e-305,0.0000e+000,2.0707e-019
"34555",9 Feb 2014 12:41:08.703,7.413964,4.3477e-006,1.0000e-305,0.0000e+000,1.2942e-020
"34428",9 Feb 2014 13:26:57.748,16.496728,9.1040e-007,1.0000e-305,0.0000e+000,5.8238e-020
"34555",9 Feb 2014 13:31:18.265,10.390771,2.2139e-006,1.0000e-305,0.0000e+000,8.6278e-020
"38665",9 Feb 2014 14:06:04.238,19.701750,6.6133e-007,1.0000e-305,0.0000e+000,3.7747e-020
"34555",9 Feb 2014 14:21:16.886,6.481905,5.6905e-006,1.0000e-305,0.0000e+000,-4.3139e-021
"36719",9 Feb 2014 14:23:28.497,13.802002,1.3098e-006,1.0000e-305,0.0000e+000,1.0353e-019
"34555",9 Feb 2014 15:11:26.445,13.358413,1.3401e-006,1.0000e-305,0.0000e+000,9.9220e-020
"38665",9 Feb 2014 15:46:19.915,16.060137,9.9425e-007,1.0000e-305,0.0000e+000,2.5883e-020
"34555",9 Feb 2014 16:01:25.067,8.932565,2.9977e-006,1.0000e-305,0.0000e+000,4.7453e-020
"34555",9 Feb 2014 16:51:34.624,17.205597,8.0817e-007,1.0000e-305,0.0000e+000,6.9022e-020
"36945",9 Feb 2014 16:54:16.120,5.189598,9.2545e-006,1.0000e-305,0.0000e+000,4.4865e-019
"34555",9 Feb 2014 17:41:33.246,12.718100,1.4794e-006,1.0000e-305,0.0000e+000,6.0395e-020
"20878",9 Feb 2014 19:12:25.410,2.681337,6.2991e-005,3.1801e-030,3.4217e-030,2.4848e-018
"35119",9 Feb 2014 19:13:40.961,19.260671,1.2563e-006,1.0000e-305,0.0000e+000,4.5727e-019
"33784",9 Feb 2014 19:15:37.568,18.148385,1.0362e-006,1.0000e-305,0.0000e+000,3.9904e-020
"34555",9 Feb 2014 19:21:41.423,16.780876,8.5017e-007,1.0000e-305,0.0000e+000,1.2079e-019
"37336",9 Feb 2014 19:45:15.179,4.036426,1.4532e-005,1.8934e-240,0.0000e+000,6.0395e-019
"37851",9 Feb 2014 20:05:26.087,10.209343,3.4215e-006,1.0000e-305,0.0000e+000,9.0592e-020
"34579",9 Feb 2014 20:10:19.566,18.083077,7.3618e-007,1.0000e-305,0.0000e+000,1.1216e-019
"30954",9 Feb 2014 20:26:37.395,10.549241,2.1775e-006,1.0000e-305,0.0000e+000,6.2552e-020
"37961",9 Feb 2014 20:57:28.096,17.458796,8.2304e-007,1.0000e-305,0.0000e+000,1.6824e-019
"34579",9 Feb 2014 21:00:21.477,15.288802,1.0301e-006,1.0000e-305,0.0000e+000,1.9844e-019
"34737",9 Feb 2014 21:19:29.933,16.400576,8.7836e-007,1.0000e-305,0.0000e+000,1.8981e-019
"31267",9 Feb 2014 21:26:56.282,18.668914,7.0817e-007,1.0000e-305,0.0000e+000,9.2749e-020
"34579",9 Feb 2014 21:50:35.175,9.138619,2.8841e-006,1.0000e-305,3.7828e-308,8.1964e-020
"34737",9 Feb 2014 22:09:41.240,15.009882,1.0486e-006,1.0000e-305,0.0000e+000,7.1179e-020
"37961",9 Feb 2014 22:37:37.884,12.617626,1.5772e-006,1.0000e-305,0.0000e+000,1.2079e-019
"34884",9 Feb 2014 22:38:30.908,16.979672,8.5482e-007,1.0000e-305,0.0000e+000,1.5961e-019
"34579",9 Feb 2014 22:40:37.082,1.719834,8.1444e-005,1.0000e-305,9.5086e-183,6.0395e-019
"34913",9 Feb 2014 22:42:11.433,9.041759,2.9257e-006,1.0000e-305,0.0000e+000,2.5452e-019
"34737",9 Feb 2014 22:59:37.080,4.850298,1.0042e-005,1.0000e-305,0.0000e+000,2.1570e-020
"31267",9 Feb 2014 23:07:01.112,10.843566,2.0990e-006,1.0000e-305,0.0000e+000,2.1570e-021
"37973",9 Feb 2014 23:13:32.700,2.278069,4.6390e-005,1.0000e-305,2.5614e-310,1.7256e-019
"34579",9 Feb 2014 23:30:50.783,18.553771,7.0007e-007,1.0000e-305,0.0000e+000,1.1000e-019
"36901",9 Feb 2014 23:38:32.677,16.070757,1.7964e-006,1.0000e-305,0.0000e+000,9.0592e-020
"29889",10 Feb 2014 00:09:22.146,12.071577,2.4666e-006,1.0000e-305,0.0000e+000,8.6278e-020
"37306",10 Feb 2014 00:16:34.083,14.006995,1.3675e-006,1.0000e-305,0.0000e+000,2.6962e-020
"37961",10 Feb 2014 00:17:47.672,7.932884,3.9936e-006,1.0000e-305,0.0000e+000,8.1964e-020
"34884",10 Feb 2014 00:18:39.936,13.119624,1.4329e-006,1.0000e-305,0.0000e+000,9.4906e-020
"34579",10 Feb 2014 00:20:52.687,16.498296,8.8561e-007,1.0000e-305,0.0000e+000,3.1923e-019
"1833",10 Feb 2014 00:31:51.766,13.182298,2.3174e-006,1.0000e-305,0.0000e+000,5.3492e-019
"34737",10 Feb 2014 00:39:44.225,19.392488,6.2817e-007,1.0000e-305,0.0000e+000,1.5530e-019
