

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.040000,0.010000,0.001600

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.040000,0.010000,0.001600

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"30291",26 Feb 2014 09:21:30.004,16.157197,2.7493e-006,1.0000e-305,0.0000e+000,-4.0443e-020
"25118",26 Feb 2014 09:48:09.647,9.938685,2.2594e-005,1.0000e-305,0.0000e+000,-1.2942e-020
"35850",26 Feb 2014 10:22:11.158,10.058707,1.9426e-005,1.0000e-305,0.0000e+000,-3.5805e-019
"25118",26 Feb 2014 10:38:14.086,6.981214,4.5813e-005,1.0000e-305,0.0000e+000,6.4881e-018
"34059",26 Feb 2014 11:18:06.661,15.940120,4.9976e-006,1.0000e-305,0.0000e+000,-1.1054e-020
"25118",26 Feb 2014 11:28:24.404,17.220803,7.5387e-006,1.0000e-305,0.0000e+000,5.6081e-020
"25118",26 Feb 2014 12:18:28.843,14.447563,1.0718e-005,1.0000e-305,0.0000e+000,-2.0707e-019
"35287",26 Feb 2014 12:58:20.965,6.304632,3.0353e-005,1.0000e-305,0.0000e+000,-1.2942e-019
"34059",26 Feb 2014 12:58:21.360,11.701043,9.2956e-006,1.0000e-305,1.7844e-307,-7.2797e-021
"34059",26 Feb 2014 13:48:25.481,18.569661,3.6951e-006,1.0000e-305,0.0000e+000,-9.9759e-021
"34059",26 Feb 2014 14:38:36.059,16.142778,4.8952e-006,1.0000e-305,0.0000e+000,-1.2402e-020
"34059",26 Feb 2014 15:28:40.183,16.170902,4.8836e-006,1.0000e-305,0.0000e+000,-7.5493e-021
"35060",26 Feb 2014 16:18:49.468,13.455230,6.8703e-006,1.0000e-305,0.0000e+000,-9.7063e-020
"33815",26 Feb 2014 16:23:53.128,17.341357,2.1729e-006,1.0000e-305,0.0000e+000,-4.6590e-019
"20903",26 Feb 2014 17:56:23.460,1.298601,1.2602e-003,1.0000e-305,0.0000e+000,-1.4667e-019
"660",26 Feb 2014 18:22:18.761,14.688519,1.0476e-005,1.0000e-305,0.0000e+000,-4.4487e-021
"26205",26 Feb 2014 18:42:47.406,16.335758,6.4502e-006,1.0000e-305,0.0000e+000,-1.0515e-020
"461",26 Feb 2014 18:51:08.931,18.494954,4.2499e-006,1.0000e-305,0.0000e+000,-3.7747e-021
"29139",26 Feb 2014 19:33:47.547,15.134246,8.8710e-006,1.0000e-305,0.0000e+000,-3.3433e-020
"35962",26 Feb 2014 19:42:28.506,19.611317,1.8182e-006,1.0000e-305,0.0000e+000,-6.2552e-020
"36740",26 Feb 2014 20:36:41.746,3.675945,5.7558e-005,1.0000e-305,0.0000e+000,-9.9220e-020
"34846",26 Feb 2014 21:19:45.603,2.250131,1.9467e-004,1.0000e-305,0.0000e+000,-1.5314e-019
"9023",26 Feb 2014 21:25:06.054,19.545133,7.6219e-006,1.0000e-305,0.0000e+000,-1.0515e-020
"25432",26 Feb 2014 22:04:38.045,15.303398,1.1531e-005,1.0000e-305,0.0000e+000,1.8064e-020
"38326",26 Feb 2014 22:10:08.129,12.779465,7.2871e-006,1.0000e-305,0.0000e+000,-2.5883e-020
"9023",26 Feb 2014 22:15:11.634,8.561230,3.9711e-005,1.0000e-305,0.0000e+000,-5.4463e-020
"21577",26 Feb 2014 23:48:38.282,18.569891,4.5211e-006,1.0000e-305,0.0000e+000,-1.6393e-019
